trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
56,False,"{'a': 0.5, 'e': 1.1399918530443554e-12}",20,12,10.209996403862915,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 6.914400106940203e-13}",25,13,24.85872557359717,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 4.1937956583795446e-13}",30,24,10.051373185936772,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 2.543665647376923e-13}",35,9,47.51853080013755,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 1.5428112031918877e-13}",20,9,-68.39131444635682,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
61,False,"{'a': 0.5, 'e': 9.357622968840175e-14}",25,20,6.64343687915458,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 5.675685232632723e-14}",20,-3,43.997778964024704,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 3.442477108469977e-14}",20,6,-17.813572383247436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
64,False,"{'a': 0.5, 'e': 2.0879679116459336e-14}",20,-34,46.6181610468585,"{0: 53, 1: 0, 2: 0, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 1.2664165549094176e-14}",25,-10,-15.425650714421517,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 7.681204685202095e-15}",20,10,11.046278489208763,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 4.658886145103398e-15}",25,12,7.4221531507518845,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 2.825757287115611e-15}",20,-6,41.482901720684495,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 1.713908431542013e-15}",20,3,18.832756537757934,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 1.039538011670222e-15}",30,11,-12.091513800640623,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 6.305116760146989e-16}",20,9,18.85614407752334,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 3.8242466280971355e-16}",30,22,14.181206801156815,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 2.3195228302435696e-16}",30,2,40.0443821254903,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 1.4068617124461467e-16}",25,9,32.08890500377341,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 8.533047625744066e-17}",20,5,-13.31804029543235,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 5.175555005801869e-17}",25,-10,15.020737632089297,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 3.1391327920480296e-17}",20,2,29.27797354777798,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 1.9039802832864523e-17}",25,13,22.299222323142573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 1.1548224173015786e-17}",25,2,34.85386443370879,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 7.004352026168645e-18}",25,18,13.847840620604892,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 4.248354255291589e-18}",30,-5,6.02807070234449,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 2.576757109154981e-18}",20,-5,47.134239108280156,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 1.5628821893349888e-18}",20,-14,37.32956083167147,"{0: 32, 1: 1, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 9.479359653504757e-19}",25,-19,-51.181602237525446,"{0: 41, 1: 0, 2: 0, 3: 0, 4: 3}",0
85,False,"{'a': 0.5, 'e': 5.74952226429356e-19}",20,-4,43.621743709171604,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 3.4872615319944465e-19}",20,-1,-6.205872372632929,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 2.1151310375910805e-19}",25,9,30.099591692050932,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 1.282891823608785e-19}",25,-15,64.13969635082637,"{0: 40, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 7.781132241133797e-20}",25,2,-8.195418294670946,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 4.719495271526123e-20}",25,15,17.025624329017592,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 2.8625185805493937e-20}",25,-27,83.49792725443726,"{0: 52, 1: 0, 2: 0, 3: 0, 4: 0}",0
